id,nome,ano,sinopse,categoria
224,Universidade Monstros,2013,"Desde pequeno, Mike Wazowski sonha em ser um as...",Animação
225,Resgate Implacável,2025,Ele quer viver uma vida simples e ser um bom pa...,Ação
226,O Homem de Aço,2013,Um garoto descobre que não é deste planeta e qu...,Ficção Científica
227,Alice: Subservience,2024,Um pai de família compra uma robô com inteligên...,Ficção Científica
228,Cartas na Mesa,1998,Mike um talentoso jogador de cartas que perdeu ...,Policial
229,Jumanji: Próxima Fase,2019,"A turma está de volta, mas o jogo mudou. Quando...",Fantasia
230,Rampage - Destruição Total,2018,"Davis Okoye é um primatologista, um homem reclu...",Ficção Científica
231,Piratas do Caribe: A Maldição do Pérola Negra,2003,O pirata Jack Sparrow tem seu navio saqueado e ...,Ação
232,Zootopia: Essa Cidade é o Bicho,2016,"Em uma cidade de animais antropomórficos, uma r...",Comédia
233,Kingsman: Serviço Secreto,2015,Eggsy é um jovem com problemas de disciplina qu...,Policial
234,Branca de Neve,2025,Quando a Rainha Má manda matarem sua enteada po...,Fantasia
235,Bad Boys: Até o Fim,2024,Depois que seu falecido ex-capitão é incriminad...,Comédia
236,Caçadores de Emoção,1991,Após uma série de assaltos a bancos bizarros no...,Policial
237,Os Caça-Fantasmas,1984,"Em Nova York, Peter Venkman, Ray Stantz e Egon ...",Fantasia
238,O Exterminador do Futuro 2: O Julgamento Final,1991,O jovem John Connor é a chave para a vitória da...,Ficção Científica
239,Bee Movie: A História de uma Abelha,2007,O ambicioso jovem Barry B. Benson cai no mundo ...,Animação
240,Mickey 17,2025,Mickey faz parte de um programa espacial de col...,Ficção Científica
241,Carros,2006,"Ao viajar para a Califórnia, o famoso carro de ...",Comédia
242,Matrix Reloaded,2003,Após derrotar as máquinas em seu combate inicia...,Ficção Científica
243,Exit 8,2025,Um homem fica preso em uma passagem infinita de...,Terror
244,Todo Mundo em Pânico 2,2001,"Brincando com o terror, o professor Oldman e Dw...",Comédia
245,Moana,2026,"Na Polinésia Antiga, quando uma terrível maldiç...",Comédia
246,Mortal Kombat 2,2026,Os campeões favoritos dos fãs – agora acompanha...,Ação
247,Alien: Romulus,2024,Enquanto vasculham as profundezas de uma estaçã...,Ficção Científica
248,Sing - Quem Canta Seus Males Espanta,2016,Um empolgado coala chamado Buster decide criar ...,Animação
249,Inteligência Humana,2026,"Ao investigar um cartel russo, um agente sul-co...",Suspense
250,A Princesa e o Sapo,2009,"Desde criança, Tiana sonha em ter um restaurant...",Fantasia
251,Five Nights at Freddy's 2,2025,Um ano após o pesadelo sobrenatural na Freddy F...,Terror
252,Proposta Indecente,1993,Um casal enfrentando dificuldades financeiras r...,Romance
253,Invocação do Mal 4: O Último Ritual,2025,O casal de investigadores Ed e Lorraine Warren ...,Terror
254,Blade Runner 2049,2017,Trinta anos após os acontecimentos do primeiro ...,Ficção Científica
255,Kaiju No. 8: Missão de Reconhecimento,2025,O filme Kaiju No. 8: Missão de Reconhecimento a...,Animação
256,Flow,2024,"Gato é um animal solitário, mas quando seu lar ...",Fantasia
257,Raya e o Último Dragão,2021,"Muito tempo atrás, humanos e dragões viviam jun...",Fantasia
258,Como Treinar o Seu Dragão,2010,Soluço é um jovem viking que desafia a tradição...,Fantasia
259,Frozen II,2019,"Elsa, Anna, Kristoff, Olaf e Sven se aventuram ...",Comédia
260,Gênio Indomável,1997,Um professor do MIT descobre que um faxineiro d...,Drama
261,A Missão de Sandy Bochechas,2024,"A Fenda do Biquíni é retirada do oceano, levand...",Animação
262,Uma Noite Alucinante: A Morte do Demônio,1981,Cinco estudantes da Universidade de Michigan de...,Terror
263,Alien: Covenant,2017,"Viajando pela galáxia, os tripulantes da nave c...",Terror
264,JUJUTSU KAISEN: Execução,2025,"Yuji Itadori, acompanhado por seus colegas de c...",Ação
265,Tá Chovendo Hambúrguer,2009,As invenções de Flint nunca deram certo. Contud...,Animação
266,Matador de Aluguel,2024,Um ex lutador de UFC aceita um trabalho como se...,Suspense
267,Os Suspeitos,2013,Depois que sua filha de seis anos e uma amiga d...,Suspense
268,Harry Potter e as Relíquias da Morte - Parte 1,2010,"Harry, Ron e Hermione estão determinados em sua...",Fantasia
269,Bastardos Inglórios,2009,"Durante a Segunda Guerra Mundial, na França, um...",Suspense
270,Homem-Aranha 3,2007,O relacionamento entre Peter Parker e Mary Jane...,Ficção Científica
271,Você ou Eu?,2026,O romance entre um rapper de classe baixa e uma...,Suspense
272,A Era do Gelo 3,2009,"Depois que Sid rouba alguns ovos de dinossauro,...",Comédia
273,Mulher-Maravilha,2017,Treinada desde cedo para ser uma guerreira imba...,Fantasia
274,Prenda-Me se For Capaz,2002,"Frank Abagnale Jr. já foi médico, advogado e co...",Policial
275,Dhurandhar: A Vingança,2026,"Movido por uma tragédia pessoal, Hamza mergulha...",Ação
276,A Casa Mágica da Gabby: O Filme,2025,Gabby parte em uma viagem de carro com sua avó ...,Animação
277,Intenso Amor,2025,"Após anos afastados, um piloto de combate e uma...",Romance
278,Frankenstein,2025,"Dr. Victor Frankenstein, um cientista brilhante...",Drama
279,O Contador 2,2025,"Quando um conhecido é assassinado, deixando par...",Suspense
280,180,2026,Depois que um incidente no trânsito deixa seu f...,Policial
281,Piratas do Caribe: No Fim do Mundo,2007,Will Turner e Elizabeth Swann unem forças com o...,Fantasia
282,O Sexto Sentido,1999,Dr. Malcolm Crowe é um conceituado psicólogo in...,Suspense
283,Matar. Vingar. Repetir,2025,"Na tentativa de vingar a morte da filha, Irene ...",Ficção Científica
284,Pinóquio,1940,"Gepeto é um carpinteiro solitário que, um dia, ...",Animação
285,Conflitos Internos,2002,"Chan Wing Yan é um policial experiente, enviado...",Policial
286,O Bom Bandido,2025,Um criminoso carismático durante sua fuga da po...,Comédia
287,Homem-Aranha,2002,Peter Parker é um jovem estudioso que vive com ...,Ação
288,O Rei Leão,2019,Simba é um jovem leão cujo destino é se tornar ...,Animação
289,Terrifier 3,2024,O palhaço assassino Art está pronto para espalh...,Terror
290,Oppenheimer,2023,A história do físico americano J. Robert Oppenh...,Drama
291,xXx: Reativado,2017,Quando um grupo de mercenários letais rouba uma...,Ação
292,Titanic,1997,Um artista pobre e uma jovem rica se conhecem e...,Drama
293,Wicked,2024,Elphaba é uma jovem como outra qualquer do Rein...,Drama
294,Aladdin,1992,"Após o sultão ordenar que sua filha, a princesa...",Fantasia
295,Força Bruta: Punição,2024,O detetive Ma Seok-do se junta à Equipe de Inve...,Policial
296,Viúva Negra,2021,"Natasha Romanoff, também conhecida como Viúva N...",Ficção Científica
297,Amor e Outras Drogas,2010,Maggie é uma mulher de espírito livre que não q...,Romance
298,2012,2009,Bilhões de habitantes da Terra não estão ciente...,Ficção Científica
299,A Múmia,1999,"Em 1926, um grupo de arqueólogos descobre uma t...",Ação
300,Baise-moi,2000,"A história gira em torno de duas mulheres que, ...",Policial
301,O Exorcista,1973,"Em Georgetown, Washington, uma atriz vai gradat...",Terror
302,A Substância,2024,Uma estrela em declínio descobre uma substância...,Ficção Científica
303,Princesa Mononoke,1997,Um príncipe infectado por uma doença sabe que i...,Fantasia
304,Motoqueiro Fantasma,2007,Johnny Blaze trabalha como dublê e piloto de mo...,Suspense
305,After: Depois da Promessa,2022,"Em After 4 – Depois da Promessa, a relação entr...",Romance
306,Último Tango em Paris,1972,"Enquanto procura um apartamento em Paris, uma b...",Romance
307,Violet Evergarden: O Filme,2020,Vários anos se passaram desde o fim da Grande G...,Animação
308,Pânico,2022,Vinte e cinco anos após uma série de crimes bru...,Terror
309,Em Ritmo de Fuga,2017,O jovem Baby tem uma mania curiosa: precisa ouv...,Policial
310,Homem de Ferro,2008,"Tony Stark é um industrial bilionário, que tamb...",Ação
311,Monstros vs Alienígenas,2009,"Um meteoro atinge Susan, e ela se transforma em...",Animação
312,Sociedade dos Poetas Mortos,1989,"Em 1959 na Welton Academy, uma tradicional esco...",Drama
313,Parasita,2019,"Toda a família de Ki-taek está desempregada, vi...",Drama
314,Rivais,2024,"Tashi Duncan, atleta prodígio do tênis que se t...",Romance
